station_code,raw_station_code,station_id,station_name,province,amphoe,utok_id,basin_id,basin_name,group_id,group_name,zero_gauge_msl,bank_level_relative_m,bank_level_msl,warning_level_msl,critical_level_msl,ground_level,qmax
X.240,X.240,594,บ้านหูแร่,สงขลา,หาดใหญ่,8,23,ลุ่มน้ำทะเลสาบสงขลา,1258,คลองวาด  จ.สงขลา,,23.100000381469727,23.1,22.6,23.1,,84.5
X.265,X.265,503,หน้าวัดภูผาพิมุข,พัทลุง,เมืองพัทลุง,8,23,ลุ่มน้ำทะเลสาบสงขลา,1215,คลองลำ (ตอนล่าง) จ.พัทลุง,,8.0,,,,,
X.276,X.276,506,บ้านเขาปู่,พัทลุง,ศรีบรรพต,8,23,ลุ่มน้ำทะเลสาบสงขลา,1209,คลองท่าแนะ (ตอนบน) จ.พัทลุง,,53.900001525878906,53.9,53.4,53.9,,63.25
X.277,X.277,550,บ้านพิกุลทอง,พัทลุง,ควนขนุน,8,23,ลุ่มน้ำทะเลสาบสงขลา,1210,คลองท่าแนะ (ตอนล่าง) จ.พัทลุง,,20.899999618530273,20.9,20.4,20.9,,
X.292,X.292,669,หน้าวัดห้วยหลาด ,สงขลา,รัตภูมิ,8,23,ลุ่มน้ำทะเลสาบสงขลา,1080,คลองรัตภูมิ จ.สงขลา,,24.459999084472656,24.46,23.96,24.46,,
X.298,X.298,703,คลองลำ,พัทลุง,ศรีนครินทร์,8,23,ลุ่มน้ำทะเลสาบสงขลา,1270,คลองลำ (ตอนบน) จ.พัทลุง,,32.529998779296875,32.53,32.03,32.53,,
X.299,X.299,696,สะพานถนนศรีภูวนารถ,สงขลา,หาดใหญ่,8,23,ลุ่มน้ำทะเลสาบสงขลา,1259,คลอง ร.1 จ.สงขลา,,8.0,,,,,
X.44,X.44,469,บ้านหาดใหญ่ใน,สงขลา,หาดใหญ่,8,23,ลุ่มน้ำทะเลสาบสงขลา,1269,คลองอู่ตะเภา (ล่าง) จ.สงขลา,,7.150000095367432,,,,,481.0
X.67A,X.67A,474,บ้านนาสีทอง,สงขลา,รัตภูมิ,8,23,ลุ่มน้ำทะเลสาบสงขลา,1080,คลองรัตภูมิ จ.สงขลา,,39.91999816894531,39.92,39.42,39.92,,289.6000061035156
X.68,X.68,475,บ้านท่าแค,พัทลุง,เมืองพัทลุง,8,23,ลุ่มน้ำทะเลสาบสงขลา,1215,คลองลำ (ตอนล่าง) จ.พัทลุง,,15.600000381469727,15.6,15.1,15.6,,60.0
X.71B,X.71B,477,บ้านควนลัง,สงขลา,หาดใหญ่,8,23,ลุ่มน้ำทะเลสาบสงขลา,1257,คลองต่ำ จ.สงขลา,,8.399999618530273,,,,,
X.90,X.90,478,บ้านบางศาลา,สงขลา,คลองหอยโข่ง,8,23,ลุ่มน้ำทะเลสาบสงขลา,1269,คลองอู่ตะเภา (ล่าง) จ.สงขลา,,9.34000015258789,,,,,777.7999877929688
T.1,T.1,454,ที่ว่าการอ.นครชัยศรี,นครปฐม,นครชัยศรี,7,13,ลุ่มน้ำท่าจีน,571,ลุ่มน้ำท่าจีน,-9.699999809265137,11.199999809265137,1.5,1.0,1.5,-9.699999809265137,
T.10,T.10,455,บ้านวัดพระรูป,สุพรรณบุรี,เมืองสุพรรณบุรี,7,13,ลุ่มน้ำท่าจีน,571,ลุ่มน้ำท่าจีน,-2.5,6.0,3.5,3.0,3.5,-2.5,
T.13,T.13,456,บ้านบางการ้อง,สุพรรณบุรี,สองพี่น้อง,7,13,ลุ่มน้ำท่าจีน,571,ลุ่มน้ำท่าจีน,-4.0,6.400000095367432,2.4,1.9,2.4,-4.0,
T.14,T.14,457,ร.ร.บ้านสามพราน,นครปฐม,สามพราน,7,13,ลุ่มน้ำท่าจีน,571,ลุ่มน้ำท่าจีน,-8.800000190734863,10.300000190734863,1.5,1.0,1.5,-8.800000190734863,
T.15,T.15,458,วัดบางไผ่นารถ,นครปฐม,บางเลน,7,13,ลุ่มน้ำท่าจีน,571,ลุ่มน้ำท่าจีน,-6.0,7.800000190734863,1.8,1.3,1.8,-6.0,
N.1,N.1,70,หน้าสำนักงานป่าไม้,น่าน,เมืองน่าน,1,9,ลุ่มน้ำน่าน,412,N.64 - N.1,192.1999969482422,7.0,199.2,198.7,199.2,192.1999969482422,1066.0
N.12A,N.12A,147,บ้านหาดไผ่,อุตรดิตถ์,ท่าปลา,2,9,ลุ่มน้ำน่าน,523,N.12A-N.2B-N.60-N.27A (ท้ายเขื่อนสิริกิติ์),69.0,12.460000038146973,81.46,80.96,81.46,69.0,3000.0
N.13A,N.13A,22,บ้านบุญนาค,น่าน,เวียงสา,1,9,ลุ่มน้ำน่าน,411,N.13A - N.75,177.39999389648438,6.5,183.9,183.4,183.9,177.39999389648438,1217.0
N.22A,N.22A,101,บ้านท่างาม,พิษณุโลก,วัดโบสถ์,2,9,ลุ่มน้ำน่าน,1283,N.27A-N.36-N.55-N.81-N.22A-N.5A-N.24A-N.90-N.43A,41.630001068115234,7.53000020980835,49.16,48.66,49.16,41.630001068115234,408.0
N.24A,N.24A,102,บ้านวังนกแอ่น,พิษณุโลก,วังทอง,2,9,ลุ่มน้ำน่าน,1283,N.27A-N.36-N.55-N.81-N.22A-N.5A-N.24A-N.90-N.43A,40.709999084472656,11.5,52.21,51.71,52.21,40.709999084472656,328.79998779296875
N.27A,N.27A,104,ท้ายเขื่อนนเรศวร,พิษณุโลก,พรหมพิราม,2,9,ลุ่มน้ำน่าน,523,N.12A-N.2B-N.60-N.27A (ท้ายเขื่อนสิริกิติ์),38.43000030517578,9.800000190734863,48.23,47.73,48.23,38.43000030517578,1116.0
N.2B,N.2B,145,ต.ในเมือง,อุตรดิตถ์,เมืองอุตรดิตถ์,2,9,ลุ่มน้ำน่าน,523,N.12A-N.2B-N.60-N.27A (ท้ายเขื่อนสิริกิติ์),52.29999923706055,7.0,59.3,58.8,59.3,52.29999923706055,1910.0
N.36,N.36,150,บ้านหนองกระท้าว,พิษณุโลก,นครไทย,2,9,ลุ่มน้ำน่าน,1283,N.27A-N.36-N.55-N.81-N.22A-N.5A-N.24A-N.90-N.43A,191.8800048828125,8.5,200.38,199.88,200.38,191.8800048828125,112.19999694824219
N.39,N.39,106,บ้านฟากท่า,อุตรดิตถ์,ฟากท่า,2,9,ลุ่มน้ำน่าน,1147,N.39 - N.84 (ลำน้ำปาด),209.0500030517578,5.0,214.05,213.55,214.05,209.0500030517578,
N.43A,N.43A,151,บ้านชมพู,พิษณุโลก,เนินมะปราง,2,9,ลุ่มน้ำน่าน,1283,N.27A-N.36-N.55-N.81-N.22A-N.5A-N.24A-N.90-N.43A,50.060001373291016,9.65999984741211,59.72,59.22,59.72,50.060001373291016,280.3999938964844
N.49,N.49,71,บ้านน้ำยาว,น่าน,ปัว,1,9,ลุ่มน้ำน่าน,394,N.49 - N..65,263.9800109863281,4.5,268.48,267.98,268.48,263.9800109863281,331.5
N.54,N.54,109,บ้านวังโป่ง,เพชรบูรณ์,วังโป่ง,2,9,ลุ่มน้ำน่าน,1284,N.73-N.24A-N.90-N.43A-N.54 (ลำน้ำสาขา แม่น้ำน่านตอนล่างฝั่งซ้าย),104.3499984741211,5.079999923706055,109.43,108.93,109.43,104.3499984741211,300.0
N.55,N.55,152,บ้านท่าสะแก,พิษณุโลก,ชาติตระการ,2,9,ลุ่มน้ำน่าน,1283,N.27A-N.36-N.55-N.81-N.22A-N.5A-N.24A-N.90-N.43A,182.8300018310547,8.369999885559082,191.2,190.7,191.2,182.8300018310547,297.0
N.5A,N.5A,97,สะพานสุพรรณกัลยา ,พิษณุโลก,เมืองพิษณุโลก,2,9,ลุ่มน้ำน่าน,1143,N.12A-N.2B-N.60-N.27A-N.5A-N.7A-N.8B-N.67   (แม่น้ำน่าน),34.5,10.369999885559082,44.87,44.37,44.87,34.5,1365.0
N.60,N.60,112,บ้านเด่นสำโรง,อุตรดิตถ์,ตรอน,2,9,ลุ่มน้ำน่าน,523,N.12A-N.2B-N.60-N.27A (ท้ายเขื่อนสิริกิติ์),48.5,8.0,56.5,56.0,56.5,48.5,1305.0
N.64,N.64,72,บ้านผาขวาง,น่าน,เมืองน่าน,1,9,ลุ่มน้ำน่าน,412,N.64 - N.1,210.89999389648438,9.5,220.4,219.9,220.4,210.89999389648438,1028.0
N.65,N.65,73,บ้านปางสา,น่าน,ท่าวังผา,1,9,ลุ่มน้ำน่าน,394,N.49 - N..65,248.88999938964844,5.0,253.89,253.39,253.89,248.88999938964844,210.39999389648438
N.67,N.67,345,วัดเกยไชยเหนือ,นครสวรรค์,ชุมแสง,2,9,ลุ่มน้ำน่าน,1143,N.12A-N.2B-N.60-N.27A-N.5A-N.7A-N.8B-N.67   (แม่น้ำน่าน),,28.209999084472656,28.21,27.71,28.21,,1435.0
N.73,N.73,154,บ้านทานตะวัน,เพชรบูรณ์,เขาค้อ,2,9,ลุ่มน้ำน่าน,1284,N.73-N.24A-N.90-N.43A-N.54 (ลำน้ำสาขา แม่น้ำน่านตอนล่างฝั่งซ้าย),684.530029296875,9.210000038146973,693.74,693.24,693.74,684.530029296875,184.0
N.75,N.75,24,สะพานท่าลี่,น่าน,เวียงสา,1,9,ลุ่มน้ำน่าน,411,N.13A - N.75,182.8000030517578,10.0,192.8,192.3,192.8,182.8000030517578,745.0499877929688
N.7A,N.7A,98,บ้านราชช้างขวัญ,พิจิตร,เมืองพิจิตร,2,9,ลุ่มน้ำน่าน,1143,N.12A-N.2B-N.60-N.27A-N.5A-N.7A-N.8B-N.67   (แม่น้ำน่าน),26.0,9.869999885559082,35.87,35.37,35.87,26.0,997.0
